,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_interval,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff
200,2006-01-02,West Brom,Aston Villa,1,2,A,2006-01-07,1,2,2,2,-1,0,0,3,-3
201,2006-01-02,West Ham,Chelsea,1,3,A,2006-01-07,1,3,3,3,-2,0,0,3,-3
202,2006-01-03,Arsenal,Man United,0,0,D,2006-01-07,0,0,0,0,0,0,1,1,0
203,2006-01-04,Man City,Tottenham,0,2,A,2006-01-07,0,2,2,2,-2,0,0,3,-3
204,2006-01-14,Arsenal,Middlesbrough,7,0,H,2006-01-14,7,0,0,0,7,0,3,0,3
205,2006-01-14,Aston Villa,West Ham,1,2,A,2006-01-14,1,2,2,2,-1,0,0,3,-3
206,2006-01-14,Blackburn,Bolton,0,0,D,2006-01-14,0,0,0,0,0,0,1,1,0
207,2006-01-14,Charlton,Birmingham,2,0,H,2006-01-14,2,0,0,0,2,0,3,0,3
208,2006-01-14,Fulham,Newcastle,1,0,H,2006-01-14,1,0,0,0,1,0,3,0,3
209,2006-01-14,Liverpool,Tottenham,1,0,H,2006-01-14,1,0,0,0,1,0,3,0,3
210,2006-01-14,Man City,Man United,3,1,H,2006-01-14,3,1,1,1,2,0,3,0,3
211,2006-01-14,Portsmouth,Everton,0,1,A,2006-01-14,0,1,1,1,-1,0,0,3,-3
212,2006-01-15,Sunderland,Chelsea,1,2,A,2006-01-21,2,2,2,2,0,0,0,3,-3
213,2006-01-15,Wigan,West Brom,0,1,A,2006-01-21,3,1,3,3,0,-2,0,3,-3
214,2006-01-21,Birmingham,Portsmouth,5,0,H,2006-01-21,5,0,0,0,5,0,3,0,3
215,2006-01-21,Bolton,Man City,2,0,H,2006-01-21,2,0,0,0,2,0,3,0,3
216,2006-01-21,Everton,Arsenal,1,0,H,2006-01-21,1,0,0,0,1,0,3,0,3
217,2006-01-21,Middlesbrough,Wigan,2,3,A,2006-01-21,2,3,3,3,-1,0,0,3,-3
218,2006-01-21,Newcastle,Blackburn,0,1,A,2006-01-21,0,1,1,1,-1,0,0,3,-3
219,2006-01-21,Tottenham,Aston Villa,0,0,D,2006-01-21,0,0,0,0,0,0,1,1,0
220,2006-01-21,West Brom,Sunderland,0,1,A,2006-01-21,1,2,1,1,0,1,0,3,-3
221,2006-01-22,Chelsea,Charlton,1,1,D,2006-01-28,1,1,1,1,0,0,1,1,0
222,2006-01-22,Man United,Liverpool,1,0,H,2006-01-28,1,0,0,0,1,0,3,0,3
223,2006-01-23,West Ham,Fulham,2,1,H,2006-01-28,2,1,1,1,1,0,3,0,3
224,2006-01-31,Charlton,West Brom,0,0,D,2006-02-04,0,2,0,0,0,2,1,1,0
225,2006-01-31,Fulham,Tottenham,1,0,H,2006-02-04,3,0,4,4,-1,-4,3,0,3
226,2006-01-31,Sunderland,Middlesbrough,0,3,A,2006-02-04,0,3,5,5,-5,-2,0,3,-3
227,2006-01-31,Wigan,Everton,1,1,D,2006-02-04,2,2,2,2,0,0,1,1,0
228,2006-02-01,Arsenal,West Ham,2,3,A,2006-02-04,4,5,3,3,1,2,0,3,-3
229,2006-02-01,Aston Villa,Chelsea,1,1,D,2006-02-04,5,1,1,1,4,0,1,1,0
230,2006-02-01,Blackburn,Man United,4,3,H,2006-02-04,4,7,5,5,-1,2,3,0,3
231,2006-02-01,Liverpool,Birmingham,1,1,D,2006-02-04,1,1,1,1,0,0,1,1,0
232,2006-02-01,Man City,Newcastle,3,0,H,2006-02-04,3,2,1,1,2,1,3,0,3
233,2006-02-01,Portsmouth,Bolton,1,1,D,2006-02-04,1,2,3,3,-2,-1,1,1,0
234,2006-02-04,Birmingham,Arsenal,0,2,A,2006-02-04,1,4,3,3,-2,1,0,3,-3
235,2006-02-04,Bolton,Wigan,1,1,D,2006-02-04,2,2,2,2,0,0,1,1,0
236,2006-02-04,Everton,Man City,1,0,H,2006-02-04,2,3,1,1,1,2,3,0,3
237,2006-02-04,Man United,Fulham,4,2,H,2006-02-04,7,3,6,6,1,-3,3,0,3
238,2006-02-04,Middlesbrough,Aston Villa,0,4,A,2006-02-04,3,5,4,4,-1,1,0,3,-3
239,2006-02-04,Newcastle,Portsmouth,2,0,H,2006-02-04,2,1,3,3,-1,-2,3,0,3
